:START_ID,:END_ID,:TYPE,collection,coverageLevel,isActiveInNetwork
http://data.europa.eu/esco/skill/0cc02ab5-da14-4fd4-963d-192fe71d3225,http://data.europa.eu/esco/skill/0cc02ab5-da14-4fd4-963d-192fe71d3225,IN_COLLECTION,Digital,high,True
http://data.europa.eu/esco/skill/0ccdfe98-f845-4598-84a1-3dca66e9d9a3,http://data.europa.eu/esco/skill/0ccdfe98-f845-4598-84a1-3dca66e9d9a3,IN_COLLECTION,Digital,high,True
http://data.europa.eu/esco/skill/0cd6dcf1-5778-42a5-b685-4d01ae4a4871,http://data.europa.eu/esco/skill/0cd6dcf1-5778-42a5-b685-4d01ae4a4871,IN_COLLECTION,Digital,high,True
http://data.europa.eu/esco/skill/0ce96a86-7a28-4c44-9e59-591375310894,http://data.europa.eu/esco/skill/0ce96a86-7a28-4c44-9e59-591375310894,IN_COLLECTION,Digital,high,True
http://data.europa.eu/esco/skill/0ced619a-0f59-4802-88ea-e97bf1b57f95,http://data.europa.eu/esco/skill/0ced619a-0f59-4802-88ea-e97bf1b57f95,IN_COLLECTION,Digital,high,True
http://data.europa.eu/esco/skill/0d168770-4d9c-4096-b048-a6577818d306,http://data.europa.eu/esco/skill/0d168770-4d9c-4096-b048-a6577818d306,IN_COLLECTION,Digital,high,True
http://data.europa.eu/esco/skill/0d6714c6-720e-4985-9791-5ab85d28da79,http://data.europa.eu/esco/skill/0d6714c6-720e-4985-9791-5ab85d28da79,IN_COLLECTION,Digital,high,True
http://data.europa.eu/esco/skill/0d7f2cce-245a-4d02-9b8d-2e9946cc4c5d,http://data.europa.eu/esco/skill/0d7f2cce-245a-4d02-9b8d-2e9946cc4c5d,IN_COLLECTION,Digital,high,True
http://data.europa.eu/esco/skill/0da6cab1-0ee9-4391-a299-f71fbf21db56,http://data.europa.eu/esco/skill/0da6cab1-0ee9-4391-a299-f71fbf21db56,IN_COLLECTION,Digital,high,True
http://data.europa.eu/esco/skill/0daaf096-1639-461c-bf1a-bbeea77e6b67,http://data.europa.eu/esco/skill/0daaf096-1639-461c-bf1a-bbeea77e6b67,IN_COLLECTION,Digital,high,True
http://data.europa.eu/esco/skill/0dc7aa1b-b5af-4f4b-81ce-ee22ed8b6926,http://data.europa.eu/esco/skill/0dc7aa1b-b5af-4f4b-81ce-ee22ed8b6926,IN_COLLECTION,Digital,high,True
http://data.europa.eu/esco/skill/0dcbf7c5-bedf-4485-b16b-23df54443864,http://data.europa.eu/esco/skill/0dcbf7c5-bedf-4485-b16b-23df54443864,IN_COLLECTION,Digital,high,True
http://data.europa.eu/esco/skill/0de61385-de6d-4146-ba32-1cc1bc102220,http://data.europa.eu/esco/skill/0de61385-de6d-4146-ba32-1cc1bc102220,IN_COLLECTION,Digital,high,True
http://data.europa.eu/esco/skill/0df2e216-68ae-4952-b9dc-3c2f2bc04fe3,http://data.europa.eu/esco/skill/0df2e216-68ae-4952-b9dc-3c2f2bc04fe3,IN_COLLECTION,Digital,high,True
http://data.europa.eu/esco/skill/0e361e34-c563-4892-b9d3-873a6a4fef8a,http://data.europa.eu/esco/skill/0e361e34-c563-4892-b9d3-873a6a4fef8a,IN_COLLECTION,Digital,high,True
http://data.europa.eu/esco/skill/0e44ceb3-9dd4-4ec4-b1d7-a0e83ddba7d4,http://data.europa.eu/esco/skill/0e44ceb3-9dd4-4ec4-b1d7-a0e83ddba7d4,IN_COLLECTION,Digital,high,True
http://data.europa.eu/esco/skill/0e5affa0-705e-4b19-94e8-19e902e0287d,http://data.europa.eu/esco/skill/0e5affa0-705e-4b19-94e8-19e902e0287d,IN_COLLECTION,Digital,high,True
http://data.europa.eu/esco/skill/0e62eba3-d076-47e5-b22d-340a8faccb3b,http://data.europa.eu/esco/skill/0e62eba3-d076-47e5-b22d-340a8faccb3b,IN_COLLECTION,Digital,high,True
http://data.europa.eu/esco/skill/0e667579-d045-4c6a-b0f3-230a61edd014,http://data.europa.eu/esco/skill/0e667579-d045-4c6a-b0f3-230a61edd014,IN_COLLECTION,Digital,high,True
http://data.europa.eu/esco/skill/0e78d9c9-7c3c-4c5c-82cb-205c16edbcb8,http://data.europa.eu/esco/skill/0e78d9c9-7c3c-4c5c-82cb-205c16edbcb8,IN_COLLECTION,Digital,high,True
http://data.europa.eu/esco/skill/0e8d16c9-e2db-4862-ac06-1567f01ef806,http://data.europa.eu/esco/skill/0e8d16c9-e2db-4862-ac06-1567f01ef806,IN_COLLECTION,Digital,high,True
http://data.europa.eu/esco/skill/0ebd8359-48bc-4b28-adb1-450774e5f683,http://data.europa.eu/esco/skill/0ebd8359-48bc-4b28-adb1-450774e5f683,IN_COLLECTION,Digital,high,True
http://data.europa.eu/esco/skill/0f00f63f-3ab4-4057-b92f-500584b51757,http://data.europa.eu/esco/skill/0f00f63f-3ab4-4057-b92f-500584b51757,IN_COLLECTION,Digital,high,True
