conceptType,conceptUri,preferredLabel,altLabels,hiddenLabels,status,modifiedDate,scopeNote,inScheme,description,code
SkillGroup,http://data.europa.eu/esco/skill/b2c688b0-9106-466d-8b88-eafdfe608e7d,designing structures or facilities,,,released,2024-01-29T16:27:05.118Z,"Examples:
- design safety equipment
- design pharmaceutical manufacturing systems
- design buildings
- create new landscape designs","http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/skills","Creating a plan or specification for the design and development of physical structures such as buildings, urban infrastructure, or open spaces.",S1.11.4
SkillGroup,http://data.europa.eu/esco/skill/b88bddd4-210e-405f-bbdf-729bb66605a0,"prescribing and ordering medical tests, treatments or devices",,,released,,"Examples:
- prescribe medication
- prescribe psychotherapeutic treatment

Excludes:
- veterinary care","http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/skills","Ordering medical tests such as blood tests or medical imaging, planning courses of treatment and prescribing medication, or medical and prosthetic devices.",S3.2.5
SkillGroup,http://data.europa.eu/esco/skill/fbb861f7-2386-4d17-84f7-6e340a8e6cd9,providing personal care,personal care,,released,,"Excludes:
- Administration of medical treatments and therapies, therapeutic massage","http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/skills",Responding to the daily and occasional personal care needs of people.,S3.6.0
SkillGroup,http://data.europa.eu/esco/isced-f/0415,secretarial and office work,,,released,2021-04-14T10:07:44.809Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f","Secretarial and office work is the study of administrative procedures and practices, office technology and clerical, shorthand and keyboard skills. Specialised secretarial programmes (bilingual, medical, law, accounting etc) are included if the programme has secretarial work as its objective, rather than work as specialised assistants.
Programmes and qualifications with the following main content are classified here:
Administrative and secretarial services
Clerical programmes
Data entry
Foreign language secretary programmes
Keyboard skills
Legal secretary programmes
Medical secretary programmes
Operation of office equipment
Receptionist training
Secretarial programmes
Shorthand
Switchboard operating
Typing

=== Inclusions
Broad secretarial programmes comprising among other things computer courses are included here.

=== Exclusions
Separate programmes or qualifications in using a specific computer software are excluded from this detailed field and included under detailed field 0611 'Computer use'.
Office management is excluded from this detailed field and included in detailed field 0413 'Management and administration'.
Hotel receptionist programmes are excluded from this detailed field and included in detailed field 1013 'Hotel, restaurant and catering'.",0415
SkillGroup,http://data.europa.eu/esco/isced-f/0588,"inter-disciplinary programmes and qualifications involving natural sciences, mathematics and statistics",,,released,2024-05-02T16:10:55.215Z,,"http://data.europa.eu/esco/concept-scheme/isced-f
http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy","Inter-disciplinary or broad programmes and qualifications to which the greatest intended learning time is devoted to natural sciences, mathematics and statistics are classified here.",0588
SkillGroup,http://data.europa.eu/esco/isced-f/038,"inter-disciplinary programmes and qualifications involving social sciences, journalism and information",,,released,2024-05-02T16:18:23.595Z,,"http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/isced-f",,038
SkillGroup,http://data.europa.eu/esco/skill/23cfb269-eec1-4011-8e57-c86203ce9fd7,giving feedback,,,released,2020-12-11T12:31:47.977Z,"Examples:
- provide feedback on job performance
- give constructive feedback","http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy","Providing founded feedback on the performance of subordinates, co-workers and students through both criticism and praise in a respectful, clear, and consistent manner. Highlighting achievements as well as mistakes and set up methods of formative assessment.",S1.8.3
SkillGroup,http://data.europa.eu/esco/isced-f/058,"inter-disciplinary programmes and qualifications involving natural sciences, mathematics and statistics",,,released,2024-05-02T16:11:02.577Z,,"http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/isced-f",,058
SkillGroup,http://data.europa.eu/esco/isced-f/0411,accounting and taxation,,,released,2023-02-17T13:32:34.671Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f","Accounting and taxation is the study of maintaining, auditing and recording financial transactions.
Programmes and qualifications with the following main content are classified here:
Accounting
Auditing
Bookkeeping
Tax accounting
Tax management

=== Exclusions
Study of tax laws is excluded from this detailed field and included in detailed field 0421 'Law'.",0411
SkillGroup,http://data.europa.eu/esco/isced-f/0000,generic programmes and qualifications not further defined,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/isced-f
http://data.europa.eu/esco/concept-scheme/skills-hierarchy",,0000
