conceptType,conceptUri,preferredLabel,status,skillType,reuseLevel,altLabels,description,broaderConceptUri,broaderConceptPT,hiddenLabels,modifiedDate,scopeNote,definition,inScheme
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/ae6d78dd-56f2-43fa-ae44-88253a7abf9f,maintain inventory of airport operations,released,skill/competence,sector-specific,"ensure inventory of airport operations is updated
update airport operations inventory
update inventory of airport operations
maintain airport operations inventory
keep inventory of airport operations
update and maintain inventory of airport operations
maintain up-to-date inventory of airport operations
keep up-to-date inventory of airport operations
keep airport operations inventory
ensure inventory of airport operations remains up to date",Keep an up-to-date inventory of all aspects of airport operations.,,,,2024-02-09T17:29:09.851Z,,,"http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/skills"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/e585d690-ebfc-4b27-9dbc-7d655ce1176c,intubation,released,knowledge,occupation-specific,"artificial respiration through intubation
tracheal intubation",The artificial respiration and intubation and the potential complications.,,,,2024-02-09T17:29:12.952Z,,,"http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/skills"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/e9c8c216-3190-4581-a0a4-002d5ae7d31e,maintain a non-emotional involvement,released,skill/competence,sector-specific,"maintain an involvement that is non-emotional
stay non-attached to patients
stay non-attached to clients",Keep a broader perspective and stay non-attached to the emotions and feelings expressed by the client during counselling sessions.,,,,2024-02-09T17:29:14.494Z,,,"http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/skills"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1ccb6921-3599-4d58-86ee-b659b5fa1c2a,discuss dental treatment options with patient,released,skill/competence,occupation-specific,"lay out dental treatment options to patients
explain dental treatment options to patient
discuss a dental treatment option with patient
explain dental treatment options to patients
discuss dental treatment options with patients","Discuss findings, diagnoses, aetiology with the patient and let the patient participate in considering risks, benefits and prognoses of the treatment options.",,,,2024-02-09T17:29:11.47Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7f207dfb-9977-4488-ae52-9b00a897e620,conduct guest soloists,released,skill/competence,sector-specific,"guide guest soloists
guide guest solo musician
conduct solo guests
show to a seat",Guide guest solo musicians in addition to ensemble members.,,,,2024-02-09T17:29:16.725Z,,,"http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/skills"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/86153127-aaf3-4886-8c19-fec492a4a853,cultured pearls,released,knowledge,cross-sector,"cultured pearl
finishing pearls
a cultured pearl
creating pearls
producing pearls","The process of creating pearls by inserting a piece of tissue in the centre of the oyster to help create pearls under controlled conditions, instead of the accidentally occurring natural pearls.",,,,2024-02-09T17:29:11.47Z,,,"http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/skills"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/3652c7df-362c-4b44-a193-52713c566106,swimming styles,released,knowledge,occupation-specific,"styles of swimming
swimming technique
swimming methods","The different styles and techniques of swimming such as front crawl, breaststroke and backstroke.",,,,2024-02-09T17:29:14.494Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/87434439-c07d-48be-af34-b0cdd03121c4,design engineering components,released,skill/competence,cross-sector,"engineering components designing
engineering components developing
engineering component designing
engineering component developing
developing engineering components
designing engineering components
develop engineering components","Design engineering parts, assemblies, products, or systems.",,,,2024-02-09T17:29:15.968Z,,,"http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/skills"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/68e66ed6-a171-4350-8ec1-2cfc4cae50e4,hydraulics,released,knowledge,cross-sector,"field of hydraulic transmissions
principles of hydraulics
hydromechanics
principles of hydraulic transmissions
fundamentals of hydraulic transmissions
science of hydraulics
fundamentals of hydraulics
hydraulics
field of hydraulics
characteristics of hydraulics
science of hydraulic transmissions
characteristics of hydraulic transmissions",The power transmission systems that use the force of flowing liquids to transmit power.,,,,2023-06-27T07:22:45.581Z,,,"http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/skills"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/32008d26-6879-449b-b8a6-c1aee01042ac,characteristics of wheel rail interface,released,knowledge,sector-specific,"principles of physical interaction between rail and wheel
characteristics of rail wheel interface
characteristics of wheel rail interaction
physics of wheel rail interface
characteristics of rail wheel interaction
principles of wheel rail interface
features of rail wheel interaction
features of wheel rail interface
principles of physical interaction between wheel and rail
principles of rail wheel interface
physics of wheel rail interaction","Thoroughly understand the forces of physics involved in the interaction between the wheels and the rail, possible rail defects, maintenance practices, and cost implications.",,,,2024-02-09T17:29:15.968Z,,,"http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/skills"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/254d5358-8e20-450c-9fed-28ceff0479ef,operate drones in civil engineering,released,skill/competence,sector-specific,"deploy drones in civil engineering
operate drone technology in civil construction
use drones in civil engineering
control drones in civil construction
use drones in construction","Operate drone technologies in the area of civil engineering in a number of different uses, such as topographic terrain mapping, building and land surveys, site inspections, remote monitoring, and thermal imaging recording.",,,,2024-02-28T12:01:27.589Z,,,"http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/skills"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4beb787f-1afa-4578-a653-7df054aff4df,perform tobacco leaves conditioning,released,skill/competence,sector-specific,"execute tobacco crops conditioning
complete tobacco crops conditioning
performing tobacco leaf conditioning
undertake tobacco crops conditioning
perform tobacco leaf conditioning
implement tobacco crops conditioning",Process tobacco to ensure that it retains elasticity by passing it through a controlled environment at the right temperature and humidity levels.,,,,2024-02-09T17:29:13.7Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills"
