conceptType,conceptUri,iscoGroup,preferredLabel,altLabels,hiddenLabels,status,modifiedDate,regulatedProfessionNote,scopeNote,definition,inScheme,description,code
Occupation,http://data.europa.eu/esco/occupation/d8ed1703-9c03-4ea0-83cc-b6169bc54ffd,4416,human resources assistant,"human resources secretary
human resources executive assistant
human resources associate
human resources administrative assistant",,released,2024-01-23T12:23:08.103Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Human resources assistants provide support in all the processes and efforts carried by human resources managers. They help in the preparation of recruitment processes by scanning CVs and narrowing the selection to the most suitable candidates. They perform administrative tasks, prepare communications and letters, and perform the tabulation of the surveys and assessments carried out by the department.",4416.1
Occupation,http://data.europa.eu/esco/occupation/73357956-f607-4baa-9ce6-03beb9b39da2,5223,sales processor,"order processor
order processing representative
sales order co-ordinator
e-commerce sales processor
sales order assistant
sales order processor
trainee order processor
order processing salesperson
order entry and transfer processor
order processing sales person
senior order processor
sales order administrator
graduate sales processor
graduate sales order processor
e-commerce sales order processor
senior sales processor
order entry and transfer co-ordinator",,released,2024-02-06T13:42:42.833Z,http://data.europa.eu/esco/regulated-professions/unregulated,Excludes people performing manually processing orders.,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Sales processors handle sales, select channels of delivery, execute orders and inform clients about dispatching and procedures. They communicate with clients in order to address missing information and/or additional details.",5223.5
Occupation,http://data.europa.eu/esco/occupation/3c0af499-39f6-4468-9ba4-b13a26d5f888,8122,abrasive blasting operator,"abrasive blasting cabinet operative
sand blast operative
abrasive sandblaster
sander operative
sand mill grinder
sander
abrasive blaster
shot blaster
sand blasting operator
sandblaster
sand blaster
sand-blaster
sand blast operator
abrasive blasting operative
sander operator
sand mill blaster
abrasive shot baster
grit blaster",,released,2023-11-28T09:46:37.746Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Abrasive blasting operators use the proper equipment and machinery to smoothen rough surfaces by abrasive blasting. Abrasive blasting is commonly used in the finishing process of metal workpieces and for blasting building materials used in masonry such as bricks, stones and concrete. They operate blasters or sand cabinets which forcibly thrust a stream of abrasive material such sand, soda or water, under high pressure, propelled by a centrifigal wheel, in order to shape and smoothen surfaces.",8122.1
Occupation,http://data.europa.eu/esco/occupation/fde97584-d8e3-413e-a662-511c9055357e,4222,live chat operator,"real time chat operator
online chat operator
virtual chat agent
live chat agent
online chat agent
virtual chat operator",,released,2024-01-25T09:29:21.709Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations",Live chat operators respond to answers and requests posed by customers of all nature through online platforms in websites and online assistance services in real time. They are available to provide service through chat platforms and have the ability to solve inquiries of clients via written communication merely.,4222.1.1
Occupation,http://data.europa.eu/esco/occupation/6188bf20-5cdb-4702-af72-2cb67ec39810,7412,theme park technician,"ride maintenance engineer
aquatic technician
engineering supervisor
ride mechanical engineer",,released,2024-01-25T14:24:18.619Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations",Theme park technicians work to maintain and repair amusement park attractions. They need a strong technical knowledge and have specialised knowledge of the rides they are assigned to maintain. Theme park technicians usually keep records of the maintenance and repairs performed as well as uptime and downtime for each serviced attraction. Attention to safety is especially important in the maintenance and repair of amusement park rides.,7412.12
Occupation,http://data.europa.eu/esco/occupation/158965f1-bd83-441c-bca8-1975b74dedc5,7231,vehicle restoration technician,"old car restorer
car restoration technician
car interior restorer
classic car restorer
vintage car restorer
car interior restoration technician
can interior specialist
car restorer
restoration technician
vehicle restorer
classic car restoration technician
vehicle interior restorer
classic vehicle restorer
automotive restoration technician
old car restoration technician
vintage vehicle restorer
old vehicle restorer",,released,2023-01-12T10:40:05.376Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations",Vehicle restoration technicians overhaul old and classic vehicles as cars.,7231.5
Occupation,http://data.europa.eu/esco/occupation/4ae3ad16-2d33-406c-8497-c66f7d61b914,5223,second-hand goods specialised seller,"army surplus goods salesperson
second hand bookshop salesperson
vintage clothes salesperson
second-hand goods specialized seller
thrift shop specialised seller
army surplus goods specialised seller
second-hand goods salesperson
charity shop specialised seller
thrift shop salesperson
vintage clothes specialised seller
charity shop salesperson
second hand goods specialised seller",,released,2016-07-05T17:14:19Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Second-hand goods specialised sellers sell second-hand goods such as books, clothes, appliances etc. in specialised shops.",5223.7.30
Occupation,http://data.europa.eu/esco/occupation/6f7c1e84-8162-4c20-a575-b57ff624eef5,8322,taxi driver,"driver of taxi
private hire driver
private driver
cab driver
chauffeur
minicab driver",,released,2024-01-16T11:26:09.485Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Taxi drivers operate a licensed private passenger transportation vehicle, looking after customers, taking fares and managing vehicle servicing.",8322.7
Occupation,http://data.europa.eu/esco/occupation/808b5940-8092-4f08-bc37-9b60ee5761d8,2146,assayer,"geo-science technician
silver assayer
precious metal assayer
assay laboratory  technician
fire assayer
mineralogy assayer
chemical analyst
metal assayer
mining assayer
metal tester
gold assayer",,released,2024-01-23T11:01:03.19Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations",Assayers test and analyse precious metals such as silver and gold to determine the value and properties of components using chemical and physical techniques. They also seperate precious metals or other components from other materials.,2146.1
Occupation,http://data.europa.eu/esco/occupation/e3b08984-19fe-4d51-a1b0-990676fc7234,2621,archivist,"archives record clerk
digital archivist
archives and manuscripts librarian
land register archivist
cadastral archivist
archives specialist
processing archivist
reference archivist
archives researcher",,released,2024-01-25T15:12:17.574Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Archivists assess, collect, organise, preserve and provide access to records and archives. Records maintained are in any format, analogue or digital and include several kinds of media (documents, photographs, video and sound recordings, etc.).",2621.1
Occupation,http://data.europa.eu/esco/occupation/f8e76759-811e-4b39-9adf-3e77429cff8f,7536,shoemaker,"custom shoemaker
hand craft shoe maker
shoe repairer
cobbler
traditional shoe manufacturer",,released,2024-01-25T14:48:53.919Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations",Shoemakers use hand or machine operations for traditional manufacturing of a various range of footwear. They also repair all types of footwear in a repair shop.,7536.2
Occupation,http://data.europa.eu/esco/occupation/0da75680-fbf9-44d8-802a-ac12eb425a34,3141,biotechnical technician,"biotechnological laboratory technician
biotechnical laboratory worker
biotechnical laboratory employee
biotechnical laboratory technician
biotechnological technician
biotechnical laboratory specialist",,released,2024-01-24T15:33:40.837Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Biotechnical technicians perform technological work in assistance of scientists. They work in laboratory settings where they help scientists to research, develop and test forms of biotechnology. They set up lab equipment, prepare scientific tests and gather scientific data.",3141.1
Occupation,http://data.europa.eu/esco/occupation/0ededdc2-050a-4ec3-8e70-6295105fcd19,5244,call centre agent,"outbound call center agent
call centre taker
outbound call centre agent
telephone sales generator
call centre rep
inbound call centre agent
telephone service attendant
telephone sales representative
telemarketing operator
inbound telemarketer
outbound sales agent
call centre operative
telephone operator
outbound telemarketer
telemarketer
call centre operator
telephone sales agent
telephone solicitor
call center agent
call centre representative
call centre service agent
inbound call center agent
inbound sales agent
telemarketing agent
call center representative",,released,2023-06-29T16:02:38.164Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations",Call centre agents handle incoming or outgoing customer calls for a business. They call existing and prospective customers to promote goods and services. They also obtain sales and arrange sales visits.,5244.1
Occupation,http://data.europa.eu/esco/occupation/bfe142b9-a049-4d41-89c4-fd2f34ac56b6,3313,accounting assistant,"junior accountant
assistant accountant
accountant assistant
finance assistant
billing and accounting assistant",,released,2023-12-01T16:18:20.138Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Accounting assistants record and report ticketing accounting situations to the accountant they work with, verify deposits and prepare daily reports and income. They arrange authorised refund vouchers, maintain the returned check accounts and communicate with ticketing managers concerning about any  issues with ticketing systems.",3313.1
Occupation,http://data.europa.eu/esco/occupation/c90e5009-37f2-4dcd-aea2-362fc817bc98,1330,ICT environmental manager,"information and communication technologies environmental manager
information technologies environmental manager
ICT environment managers
ICT environment manager
IT environmental manager",,released,2024-01-25T12:32:11.333Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","ICT environmental managers know the green ICT legal framework, understand the role of the ICT network configurations in the economy and energy resources deployment and evaluate the impact of CO2 footprint of each ICT resource in the organisation's network. They plan and manage the implementation of environmental strategies for ICT networks and systems by conducting applied research, developing organisational policy, and devising strategies to meet sustainability targets. They ensure that the whole organisation uses ICT resources in a way that is as friendly as possible for the environment.
",1330.10
